# Misclassified BGL Logs
# Total: 30 / 401
# Format: TRUE_LABEL PRED_LABEL SOURCE | LOG_LINE
#================================================================================

TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131473805', date='2005.11.08', node='R62-M0-NE-C:J09-U01', time='2005-11-08-10.16.45.386821', node_repeat='R62-M0-NE-C:J09-U01', type='RAS', component='KERNEL', level='INFO', content='iar 00105e84 dear 024701dc', raw='1131473805 2005.11.08 R62-M0-NE-C:J09-U01 2005-11-08-10.16.45.386821 R62-M0-NE-C:J09-U01 RAS KERNEL INFO iar 00105e84 dear 024701dc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243221', date='2005.09.20', node='NULL', time='2005-09-20-12.07.01.621806', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243221 2005.09.20 NULL 2005-09-20-12.07.01.621806 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1125084029', date='2005.08.26', node='R67-M1-NB-C:J11-U11', time='2005-08-26-12.20.29.691318', node_repeat='R67-M1-NB-C:J11-U11', type='RAS', component='KERNEL', level='INFO', content='iar 003a9260 dear 012924f8', raw='1125084029 2005.08.26 R67-M1-NB-C:J11-U11 2005-08-26-12.20.29.691318 R67-M1-NB-C:J11-U11 RAS KERNEL INFO iar 003a9260 dear 012924f8')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1119806955', date='2005.06.26', node='R03-M1-NC-C:J05-U11', time='2005-06-26-10.29.15.890436', node_repeat='R03-M1-NC-C:J05-U11', type='RAS', component='KERNEL', level='INFO', content='program interrupt', raw='1119806955 2005.06.26 R03-M1-NC-C:J05-U11 2005-06-26-10.29.15.890436 R03-M1-NC-C:J05-U11 RAS KERNEL INFO program interrupt')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243377', date='2005.09.20', node='NULL', time='2005-09-20-12.09.37.578989', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243377 2005.09.20 NULL 2005-09-20-12.09.37.578989 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1123110844', date='2005.08.03', node='NULL', time='2005-08-03-16.14.04.704650', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1123110844 2005.08.03 NULL 2005-08-03-16.14.04.704650 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243216', date='2005.09.20', node='NULL', time='2005-09-20-12.06.56.253999', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243216 2005.09.20 NULL 2005-09-20-12.06.56.253999 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1133646587', date='2005.12.03', node='R55-M0-N9-C:J06-U11', time='2005-12-03-13.49.47.382429', node_repeat='R55-M0-N9-C:J06-U11', type='RAS', component='KERNEL', level='INFO', content='1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over 244 seconds', raw='1133646587 2005.12.03 R55-M0-N9-C:J06-U11 2005-12-03-13.49.47.382429 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over 244 seconds')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1135050698', date='2005.12.19', node='R77-M1-NC-I:J18-U01', time='2005-12-19-19.51.38.151363', node_repeat='R77-M1-NC-I:J18-U01', type='RAS', component='KERNEL', level='INFO', content='ciod: pollControlDescriptors: Detected the debugger died.', raw='1135050698 2005.12.19 R77-M1-NC-I:J18-U01 2005-12-19-19.51.38.151363 R77-M1-NC-I:J18-U01 RAS KERNEL INFO ciod: pollControlDescriptors: Detected the debugger died.')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1120231520', date='2005.07.01', node='UNKNOWN_LOCATION', time='2005-07-01-08.25.20.466953', node_repeat='UNKNOWN_LOCATION', type='NULL', component='DISCOVERY', level='INFO', content='Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005', raw='1120231520 2005.07.01 UNKNOWN_LOCATION 2005-07-01-08.25.20.466953 UNKNOWN_LOCATION NULL DISCOVERY INFO Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1123110860', date='2005.08.03', node='NULL', time='2005-08-03-16.14.20.667595', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1123110860 2005.08.03 NULL 2005-08-03-16.14.20.667595 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
