# Misclassified BGL Logs
# Total: 316 / 401
# Format: TRUE_LABEL PRED_LABEL CONFIDENCE | LOG_LINE
#================================================================================

TRUE:0 PRED:1 CONF:0.010 | 1120889703 2005.07.08 R05-M0-N2 2005-07-08-23.15.03.798449 R05-M0-N2 NULL DISCOVERY WARNING Node card is not fully functional
TRUE:0 PRED:1 CONF:0.010 | 1118710403 2005.06.13 R06-M0-N8-C:J13-U11 2005-06-13-17.53.23.965757 R06-M0-N8-C:J13-U11 RAS KERNEL FATAL instruction address: 0x00004ed8
TRUE:0 PRED:1 CONF:0.011 | 1135050698 2005.12.19 R77-M1-NC-I:J18-U01 2005-12-19-19.51.38.151363 R77-M1-NC-I:J18-U01 RAS KERNEL INFO ciod: pollControlDescriptors: Detected the debugger died.
TRUE:0 PRED:1 CONF:0.011 | 1118765676 2005.06.14 R16-M1-N2-C:J07-U01 2005-06-14-09.14.36.498843 R16-M1-N2-C:J07-U01 RAS KERNEL FATAL instruction address: 0x00004ed8
TRUE:0 PRED:1 CONF:0.011 | 1118766935 2005.06.14 R20-M1-NC-C:J05-U01 2005-06-14-09.35.35.569986 R20-M1-NC-C:J05-U01 RAS KERNEL FATAL instruction address: 0x00004ed8
TRUE:0 PRED:1 CONF:0.012 | 1118766833 2005.06.14 R24-M1-ND-C:J11-U11 2005-06-14-09.33.53.107913 R24-M1-ND-C:J11-U11 RAS KERNEL FATAL instruction address: 0x00004ed8
TRUE:0 PRED:1 CONF:0.012 | 1118768186 2005.06.14 R24-M1-N6-C:J11-U01 2005-06-14-09.56.26.940016 R24-M1-N6-C:J11-U01 RAS KERNEL FATAL data address: 0x00000002
TRUE:0 PRED:1 CONF:0.012 | 1135095320 2005.12.20 R45-M0-N4-I:J18-U01 2005-12-20-08.15.20.957109 R45-M0-N4-I:J18-U01 RAS KERNEL INFO ciod: generated 128 core files for program /g/g24/germann2/SPaSM_static/SPaSM_mpi
TRUE:0 PRED:1 CONF:0.013 | 1122162200 2005.07.23 R33-M1-N1-C:J09-U01 2005-07-23-16.43.20.845234 R33-M1-N1-C:J09-U01 RAS KERNEL INFO 5 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.013 | 1131692621 2005.11.10 R63-M0-NF-C:J06-U01 2005-11-10-23.03.41.120402 R63-M0-NF-C:J06-U01 RAS KERNEL INFO iar 00106274 dear 0246da8c
TRUE:0 PRED:1 CONF:0.013 | 1122162364 2005.07.23 R27-M0-N9-C:J07-U11 2005-07-23-16.46.04.171597 R27-M0-N9-C:J07-U11 RAS KERNEL INFO 5 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.013 | 1127264122 2005.09.20 R27-M0-N8-I:J18-U11 2005-09-20-17.55.22.058829 R27-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /home/yates//bandwidth.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 CONF:0.013 | 1129551549 2005.10.17 R02-M0-N4-C:J04-U11 2005-10-17-05.19.09.715915 R02-M0-N4-C:J04-U11 RAS KERNEL INFO data cache search parity error detected. attempting to correct
TRUE:0 PRED:1 CONF:0.013 | 1127264333 2005.09.20 R45-M0-N0-I:J18-U01 2005-09-20-17.58.53.385609 R45-M0-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /home/yates//torus-latency.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 CONF:0.013 | 1125083309 2005.08.26 R65-M1-N9-C:J16-U11 2005-08-26-12.08.29.680955 R65-M1-N9-C:J16-U11 RAS KERNEL INFO iar 003a9260 dear 00efcbc8
TRUE:0 PRED:1 CONF:0.013 | 1131126633 2005.11.04 R62-M0-N2-C:J14-U01 2005-11-04-09.50.33.808350 R62-M0-N2-C:J14-U01 RAS KERNEL INFO iar 00106600 dear 0245ccfc
