# Misclassified BGL Logs
# Total: 87 / 401
# Format: TRUE_LABEL PRED_LABEL SOURCE | LOG_LINE
#================================================================================

TRUE:0 PRED:1 SOURCE:deepseek | 1127265034 2005.09.20 R26-M1-N8-I:J18-U01 2005-09-20-18.10.34.811726 R26-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/SWL/performance/MINIBEN//torus-latency.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 SOURCE:deepseek | 1131473805 2005.11.08 R62-M0-NE-C:J09-U01 2005-11-08-10.16.45.386821 R62-M0-NE-C:J09-U01 RAS KERNEL INFO iar 00105e84 dear 024701dc
TRUE:0 PRED:1 SOURCE:deepseek | 1118771085 2005.06.14 R27-M1-ND-C:J09-U01 2005-06-14-10.44.45.851799 R27-M1-ND-C:J09-U01 RAS KERNEL FATAL machine check enable..............0
TRUE:0 PRED:1 SOURCE:deepseek | 1134109138 2005.12.08 R20-M1-N0-I:J18-U11 2005-12-08-22.18.58.098120 R20-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /g/g90/glosli/src/ddcMD/ddcMD1.1.17/bin/ddcMDbglV: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 SOURCE:deepseek | 1123043313 2005.08.02 UNKNOWN_LOCATION 2005-08-02-21.28.33.869729 UNKNOWN_LOCATION NULL DISCOVERY INFO New ido chip inserted into the database: FF:F2:9F:16:C4:C2:00:0D:60:E9:3B:3D ip=10.2.1.37 v=13 t=4
TRUE:0 PRED:1 SOURCE:deepseek | 1133454624 2005.12.01 R00-M0-N4-C:J09-U11 2005-12-01-08.30.24.223851 R00-M0-N4-C:J09-U11 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.
TRUE:0 PRED:1 SOURCE:deepseek | 1118771875 2005.06.14 R20-M1-NB-C:J11-U11 2005-06-14-10.57.55.166387 R20-M1-NB-C:J11-U11 RAS KERNEL FATAL program interrupt: fp cr field .............0
TRUE:0 PRED:1 SOURCE:deepseek | 1131059607 2005.11.03 R67-M0-N5-C:J04-U11 2005-11-03-15.13.27.784212 R67-M0-N5-C:J04-U11 RAS KERNEL INFO iar 001061dc dear 0244c28c
TRUE:0 PRED:1 SOURCE:deepseek | 1133448052 2005.12.01 R33-M1-N7-C:J12-U01 2005-12-01-06.40.52.287178 R33-M1-N7-C:J12-U01 RAS KERNEL INFO 10674 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1132579592 2005.11.21 R10-M1-N0-I:J18-U11 2005-11-21-05.26.32.169664 R10-M1-N0-I:J18-U11 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001b0
TRUE:0 PRED:1 SOURCE:deepseek | 1127243221 2005.09.20 NULL 2005-09-20-12.07.01.621806 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 SOURCE:deepseek | 1131127588 2005.11.04 R62-M0-N4-C:J16-U11 2005-11-04-10.06.28.496633 R62-M0-N4-C:J16-U11 RAS KERNEL INFO iar 00106168 dear 0245b64c
TRUE:0 PRED:1 SOURCE:deepseek | 1125084029 2005.08.26 R67-M1-NB-C:J11-U11 2005-08-26-12.20.29.691318 R67-M1-NB-C:J11-U11 RAS KERNEL INFO iar 003a9260 dear 012924f8
