# Misclassified BGL Logs
# Total: 53 / 401
# Format: TRUE_LABEL PRED_LABEL SOURCE | LOG_LINE
#================================================================================

TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1133306326', date='2005.11.29', node='R21-M0-N8-I:J18-U01', time='2005-11-29-15.18.46.642475', node_repeat='R21-M0-N8-I:J18-U01', type='RAS', component='KERNEL', level='INFO', content='ciod: Received signal 15, code=0, errno=0, address=0x000001f2', raw='1133306326 2005.11.29 R21-M0-N8-I:J18-U01 2005-11-29-15.18.46.642475 R21-M0-N8-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001f2')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131473805', date='2005.11.08', node='R62-M0-NE-C:J09-U01', time='2005-11-08-10.16.45.386821', node_repeat='R62-M0-NE-C:J09-U01', type='RAS', component='KERNEL', level='INFO', content='iar 00105e84 dear 024701dc', raw='1131473805 2005.11.08 R62-M0-NE-C:J09-U01 2005-11-08-10.16.45.386821 R62-M0-NE-C:J09-U01 RAS KERNEL INFO iar 00105e84 dear 024701dc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1118771085', date='2005.06.14', node='R27-M1-ND-C:J09-U01', time='2005-06-14-10.44.45.851799', node_repeat='R27-M1-ND-C:J09-U01', type='RAS', component='KERNEL', level='FATAL', content='machine check enable..............0', raw='1118771085 2005.06.14 R27-M1-ND-C:J09-U01 2005-06-14-10.44.45.851799 R27-M1-ND-C:J09-U01 RAS KERNEL FATAL machine check enable..............0')
TRUE:0 PRED:1 SOURCE:rule | BGLEntry(timestamp='1118771875', date='2005.06.14', node='R20-M1-NB-C:J11-U11', time='2005-06-14-10.57.55.166387', node_repeat='R20-M1-NB-C:J11-U11', type='RAS', component='KERNEL', level='FATAL', content='program interrupt: fp cr field .............0', raw='1118771875 2005.06.14 R20-M1-NB-C:J11-U11 2005-06-14-10.57.55.166387 R20-M1-NB-C:J11-U11 RAS KERNEL FATAL program interrupt: fp cr field .............0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131059607', date='2005.11.03', node='R67-M0-N5-C:J04-U11', time='2005-11-03-15.13.27.784212', node_repeat='R67-M0-N5-C:J04-U11', type='RAS', component='KERNEL', level='INFO', content='iar 001061dc dear 0244c28c', raw='1131059607 2005.11.03 R67-M0-N5-C:J04-U11 2005-11-03-15.13.27.784212 R67-M0-N5-C:J04-U11 RAS KERNEL INFO iar 001061dc dear 0244c28c')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1132579592', date='2005.11.21', node='R10-M1-N0-I:J18-U11', time='2005-11-21-05.26.32.169664', node_repeat='R10-M1-N0-I:J18-U11', type='RAS', component='KERNEL', level='INFO', content='ciod: Received signal 15, code=0, errno=0, address=0x000001b0', raw='1132579592 2005.11.21 R10-M1-N0-I:J18-U11 2005-11-21-05.26.32.169664 R10-M1-N0-I:J18-U11 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001b0')
TRUE:0 PRED:1 SOURCE:rule | BGLEntry(timestamp='1119803856', date='2005.06.26', node='R02-M1-N4-C:J12-U01', time='2005-06-26-09.37.36.335874', node_repeat='R02-M1-N4-C:J12-U01', type='RAS', component='KERNEL', level='INFO', content='program interrupt: imprecise exception......0', raw='1119803856 2005.06.26 R02-M1-N4-C:J12-U01 2005-06-26-09.37.36.335874 R02-M1-N4-C:J12-U01 RAS KERNEL INFO program interrupt: imprecise exception......0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243221', date='2005.09.20', node='NULL', time='2005-09-20-12.07.01.621806', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243221 2005.09.20 NULL 2005-09-20-12.07.01.621806 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1125084029', date='2005.08.26', node='R67-M1-NB-C:J11-U11', time='2005-08-26-12.20.29.691318', node_repeat='R67-M1-NB-C:J11-U11', type='RAS', component='KERNEL', level='INFO', content='iar 003a9260 dear 012924f8', raw='1125084029 2005.08.26 R67-M1-NB-C:J11-U11 2005-08-26-12.20.29.691318 R67-M1-NB-C:J11-U11 RAS KERNEL INFO iar 003a9260 dear 012924f8')
TRUE:0 PRED:1 SOURCE:rule | BGLEntry(timestamp='1119806955', date='2005.06.26', node='R03-M1-NC-C:J05-U11', time='2005-06-26-10.29.15.890436', node_repeat='R03-M1-NC-C:J05-U11', type='RAS', component='KERNEL', level='INFO', content='program interrupt', raw='1119806955 2005.06.26 R03-M1-NC-C:J05-U11 2005-06-26-10.29.15.890436 R03-M1-NC-C:J05-U11 RAS KERNEL INFO program interrupt')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243377', date='2005.09.20', node='NULL', time='2005-09-20-12.09.37.578989', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243377 2005.09.20 NULL 2005-09-20-12.09.37.578989 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
